Order_ID,Customer_Name,Gender,Age,City,Product,Category,Price,Quantity,Order_Date,Payment_Method,Rating
1000,Farhan Ali,Male,42,Multan,Headphones,Clothing,,2,2024-01-10,,
1001,Ali Khan,,twenty five,,Makeup Kit,Electronics,33881,2,2024-05-20,,1
1002,Farhan Ali,Male,,Islamabad,Watch,Clothing,101404,5,2024-01-10,Cash,1
1003,Hassan Raza,Male,twenty five,Islamabad,Shoes,Clothing,74766,4,2024-01-10,card,
1004,Ayesha Khan,,twenty five,Lahore,Watch,Accessories,55583,4,2024-05-20,Card,3
1005,Bilal Ahmed,Male,29,Islamabad,Mobile Phone,Accessories,39822,3,2024-01-10,card,
1006,Zainab Malik,Female,twenty five,Faisalabad,Laptop,Accessories,,4,2024-05-20,Card,4
1007,Ahmed Ali,Male,43,Karachi,Laptop,Accessories,33879,4,2024-05-20,card,
1008,Zainab Malik,Male,twenty five,Multan,Laptop,Electronics,108555,3,2024/02/15,Card,1
1009,Usman Ali,Male,20,,Shirt,Electronics,,4,15-03-2024,COD,5
1010,Farhan Ali,,,Faisalabad,Handbag,Accessories,14583,1,15-03-2024,Card,1
1011,Usman Ali,Female,twenty five,Multan,Shoes,Clothing,,1,2024-01-10,Card,3
1012,Hina Tariq,Female,18,Multan,Laptop,Accessories,43834,3,15-03-2024,Cash,
1013,Zainab Malik,Male,twenty five,Lahore,Shirt,Clothing,,1,2024/02/15,card,
1014,Ahmed Ali,Male,,Faisalabad,Shirt,Accessories,71632,5,2024-05-20,card,5
1015,Ali Khan,Male,18,,Shirt,Accessories,21635,3,2024-05-20,COD,2
1016,Sana Khan,,,Faisalabad,TV,Accessories,4987,1,2024/02/15,Card,1
1017,Ahmed Ali,Female,twenty five,Islamabad,Mobile Phone,Clothing,,4,15-03-2024,COD,2
1018,Usman Ali,,34,Karachi,Shirt,Accessories,,1,15-03-2024,Card,1
1019,,Female,twenty five,Karachi,Mobile Phone,Accessories,,4,2024-01-10,,2
1020,Usman Ali,Male,,Lahore,Watch,Beauty,21791,2,2024-05-20,,4
1021,Bilal Ahmed,Female,,Islamabad,Handbag,Accessories,,5,2024-05-20,COD,2
1022,Hina Tariq,Female,,Faisalabad,TV,Beauty,86656,5,2024-01-10,Card,1
1023,Kiran Noor,Male,twenty five,Islamabad,TV,Clothing,,1,2024/02/15,,
1024,Ahmed Ali,Male,42,Lahore,Makeup Kit,Accessories,68557,5,2024-05-20,cash,2
1025,Sana Khan,Female,twenty five,,Shoes,Electronics,47723,2,15-03-2024,,2
1026,Kiran Noor,Male,,Karachi,Watch,Electronics,43984,3,15-03-2024,cash,5
1027,Bilal Ahmed,Male,twenty five,Islamabad,Laptop,Beauty,41244,2,15-03-2024,,5
1028,Farhan Ali,Male,,Islamabad,Jewelry,Clothing,,3,2024-05-20,cash,
1029,Ayesha Khan,Male,twenty five,Multan,Laptop,Clothing,,3,2024-05-20,COD,1
1030,Usman Ali,Male,,Lahore,Laptop,Beauty,,4,2024/02/15,Card,5
1031,Kiran Noor,Female,28,Lahore,Laptop,Clothing,,4,2024/02/15,card,4
1032,Sana Khan,Female,twenty five,Faisalabad,Jewelry,Accessories,87690,3,2024/02/15,card,
1033,Farhan Ali,Male,,,Watch,Beauty,61738,1,2024-01-10,Card,5
1034,Usman Ali,Male,,Lahore,Headphones,Beauty,15909,4,2024/02/15,cash,2
1035,Bilal Ahmed,Male,,,Shirt,Accessories,106721,1,2024/02/15,cash,4
1036,Zainab Malik,Male,twenty five,Lahore,Mobile Phone,Electronics,,3,2024-05-20,Cash,5
1037,Farhan Ali,Male,21,Islamabad,Laptop,Clothing,5637,2,2024-05-20,Card,4
1038,Ahmed Raza,Male,,Multan,Watch,Beauty,16595,1,2024-05-20,COD,5
1039,Kiran Noor,Female,36,Multan,Shirt,Beauty,73335,4,2024-01-10,cash,3
1040,Sana Khan,Female,,,Makeup Kit,Beauty,24822,2,2024/02/15,Cash,
1041,Bilal Ahmed,Female,twenty five,Islamabad,Makeup Kit,Clothing,,3,2024-05-20,cash,5
1042,,Male,36,Lahore,Laptop,Beauty,,3,2024-01-10,,
1043,Sara Ahmed,,21,Faisalabad,Mobile Phone,Electronics,,5,2024/02/15,card,3
1044,Ayesha Khan,Male,43,Lahore,Shoes,Clothing,59137,5,15-03-2024,card,2
1045,Usman Ali,Female,,Islamabad,Handbag,Clothing,26571,3,15-03-2024,cash,
1046,Kiran Noor,Female,twenty five,Lahore,Shirt,Clothing,68218,2,2024-01-10,cash,2
1047,Kiran Noor,,twenty five,Lahore,Headphones,Accessories,,2,2024-01-10,Card,5
1048,Zainab Malik,Female,,Karachi,TV,Clothing,,1,2024/02/15,card,3
1049,Ali Khan,Female,,Faisalabad,Tablet,Electronics,,5,2024/02/15,Card,5
1050,Kiran Noor,Male,,Multan,Makeup Kit,Clothing,62098,5,2024/02/15,card,1
1051,Zainab Malik,,,,Laptop,Beauty,43869,1,2024/02/15,COD,2
1052,Sana Khan,Male,twenty five,Islamabad,Jewelry,Beauty,,2,2024-05-20,card,3
1053,Hina Tariq,Male,twenty five,,Makeup Kit,Beauty,83340,4,2024-05-20,COD,2
1054,Zainab Malik,Male,22,Faisalabad,Shoes,Electronics,68004,3,2024/02/15,,2
1055,Zainab Malik,,43,Lahore,Jewelry,Beauty,,1,15-03-2024,COD,5
1056,Sana Khan,Male,,Lahore,TV,Clothing,88933,5,2024-05-20,,2
1057,Zainab Malik,,35,,Makeup Kit,Clothing,41641,5,2024-05-20,cash,2
1058,Ahmed Raza,Female,twenty five,,Tablet,Beauty,,5,15-03-2024,Card,5
1059,Usman Ali,,twenty five,Multan,Tablet,Beauty,32175,4,2024/02/15,cash,2
1060,Ahmed Ali,,45,Karachi,Tablet,Accessories,11675,4,2024-05-20,,
1061,Bilal Ahmed,,30,Faisalabad,Watch,Beauty,108694,1,2024/02/15,COD,1
1062,Sara Ahmed,,twenty five,,Makeup Kit,Beauty,77573,5,2024-05-20,cash,
1063,Hina Tariq,,45,,Watch,Beauty,,2,15-03-2024,,2
1064,Kiran Noor,Male,,Multan,Laptop,Electronics,81076,5,2024/02/15,cash,4
1065,Ahmed Ali,Male,46,Multan,Tablet,Clothing,23473,2,2024/02/15,card,1
1066,,,,Islamabad,Headphones,Electronics,,5,2024-01-10,,5
1067,Zainab Malik,Female,twenty five,Lahore,Mobile Phone,Accessories,68742,4,2024-05-20,Cash,2
1068,,Male,47,Faisalabad,Mobile Phone,Beauty,95765,3,2024-05-20,COD,4
1069,Bilal Ahmed,Female,,Lahore,Headphones,Clothing,32005,1,2024-05-20,Cash,
1070,Ahmed Raza,,21,Karachi,Perfume,Clothing,56168,4,2024-05-20,Card,2
1071,Kiran Noor,Male,33,Karachi,Shirt,Beauty,107896,4,15-03-2024,,5
1072,Bilal Ahmed,Male,twenty five,Faisalabad,Laptop,Beauty,52713,2,2024/02/15,COD,
1073,Bilal Ahmed,Female,twenty five,,Shoes,Accessories,101908,4,2024/02/15,card,1
1074,Ayesha Khan,Male,47,Faisalabad,Jewelry,Clothing,4553,2,2024-05-20,Cash,2
1075,Ahmed Raza,Male,43,Faisalabad,Headphones,Clothing,84945,1,15-03-2024,Card,1
1076,Farhan Ali,Female,twenty five,Lahore,Laptop,Beauty,5677,1,15-03-2024,COD,
1077,Hina Tariq,,,Multan,Headphones,Accessories,61779,2,15-03-2024,Cash,2
1078,Farhan Ali,,,Lahore,Headphones,Clothing,65940,3,15-03-2024,cash,
1079,Farhan Ali,,twenty five,Faisalabad,Laptop,Beauty,36697,4,15-03-2024,Cash,1
1080,Bilal Ahmed,Male,,Multan,Handbag,Accessories,63547,3,2024-05-20,COD,
1081,,Female,,Islamabad,Shoes,Beauty,61106,2,2024/02/15,,
1082,Bilal Ahmed,,,Multan,Makeup Kit,Clothing,45730,2,2024-05-20,,5
1083,Ahmed Raza,Female,22,Faisalabad,Jewelry,Beauty,,5,2024-01-10,Cash,2
1084,Usman Ali,,twenty five,,Shoes,Clothing,,2,2024-01-10,card,4
1085,Ahmed Ali,Female,47,Faisalabad,TV,Accessories,105462,5,2024-01-10,COD,
1086,Bilal Ahmed,Male,,Karachi,Headphones,Clothing,22761,3,15-03-2024,Card,3
1087,Hassan Raza,Male,twenty five,Islamabad,Shoes,Beauty,5884,1,15-03-2024,COD,2
1088,Sara Ahmed,Male,37,Karachi,Handbag,Clothing,36783,3,2024-05-20,COD,
1089,Zainab Malik,Male,twenty five,Lahore,TV,Electronics,71342,4,15-03-2024,,3
1090,Zainab Malik,Female,,Faisalabad,Watch,Accessories,47673,3,2024/02/15,Cash,2
1091,Usman Ali,Female,,Karachi,Tablet,Accessories,65397,2,2024-05-20,Cash,1
1092,Sana Khan,,24,Lahore,Perfume,Accessories,,2,2024/02/15,,5
1093,Usman Ali,Male,,,Perfume,Electronics,25168,4,2024-01-10,COD,2
1094,Sara Ahmed,Female,31,Faisalabad,Mobile Phone,Clothing,98076,5,15-03-2024,COD,1
1095,Usman Ali,Female,22,,Makeup Kit,Clothing,38678,3,2024-05-20,Cash,5
1096,,Female,,Lahore,Laptop,Accessories,40601,4,15-03-2024,cash,4
1097,Usman Ali,Female,18,Lahore,Mobile Phone,Clothing,21387,1,2024/02/15,Cash,5
1098,Ali Khan,Male,44,Faisalabad,Watch,Accessories,77057,4,2024-05-20,Cash,5
1099,Ahmed Ali,Male,,Multan,Perfume,Accessories,27636,3,2024-05-20,Card,1
1100,Ahmed Raza,,41,,Laptop,Clothing,,3,2024-01-10,,3
1101,Ahmed Raza,Female,,,Mobile Phone,Electronics,10563,2,2024-01-10,COD,3
1102,Kiran Noor,Female,21,Multan,Watch,Beauty,,5,2024-05-20,cash,4
1103,Sara Ahmed,Female,36,Multan,Watch,Electronics,,2,15-03-2024,Cash,5
1104,Hina Tariq,Male,24,Lahore,Jewelry,Clothing,43192,5,15-03-2024,,4
1105,Ahmed Ali,Male,34,Karachi,Mobile Phone,Electronics,66392,4,2024-05-20,,2
1106,Sara Ahmed,,21,Multan,TV,Clothing,10286,5,2024-05-20,Cash,2
1107,Ahmed Raza,,22,Karachi,Jewelry,Clothing,74410,3,2024-01-10,COD,
1108,Bilal Ahmed,Male,,Multan,TV,Electronics,38895,5,2024-01-10,,1
